================================================================================
DAY 13 - RATIO EDGE CASE REVIEW
================================================================================
APOLLOHOSP | Mar 2019 | ROE | Computed=6.00 | Source=13.81 | Difference=7.81 | Category=Version Difference
APOLLOHOSP | Mar 2020 | ROCE | Computed=30.62 | Source=17.20 | Difference=13.42 | Category=Version Difference
APOLLOHOSP | Mar 2021 | ROE | Computed=2.98 | Source=13.81 | Difference=10.83 | Category=Version Difference
APOLLOHOSP | Mar 2022 | ROE | Computed=19.70 | Source=13.81 | Difference=5.89 | Category=Version Difference
APOLLOHOSP | Mar 2022 | ROCE | Computed=26.50 | Source=17.20 | Difference=9.30 | Category=Version Difference
APOLLOHOSP | Mar 2023 | ROCE | Computed=23.23 | Source=17.20 | Difference=6.03 | Category=Version Difference
APOLLOHOSP | Mar 2024 | ROCE | Computed=23.17 | Source=17.20 | Difference=5.97 | Category=Version Difference
ASIANPAINT | Mar 2013 | ROCE | Computed=48.94 | Source=41.75 | Difference=7.19 | Category=Version Difference
ASIANPAINT | Mar 2014 | ROCE | Computed=47.85 | Source=41.75 | Difference=6.10 | Category=Version Difference
ASIANPAINT | Mar 2018 | ROE | Computed=24.95 | Source=31.45 | Difference=6.50 | Category=Version Difference
ASIANPAINT | Mar 2018 | ROCE | Computed=36.29 | Source=41.75 | Difference=5.46 | Category=Version Difference
ASIANPAINT | Mar 2019 | ROE | Computed=23.31 | Source=31.45 | Difference=8.14 | Category=Version Difference
ASIANPAINT | Mar 2019 | ROCE | Computed=35.91 | Source=41.75 | Difference=5.84 | Category=Version Difference
ASIANPAINT | Mar 2021 | ROE | Computed=25.04 | Source=31.45 | Difference=6.41 | Category=Version Difference
ASIANPAINT | Mar 2021 | ROCE | Computed=35.60 | Source=41.75 | Difference=6.15 | Category=Version Difference
ASIANPAINT | Mar 2022 | ROE | Computed=22.34 | Source=31.45 | Difference=9.11 | Category=Version Difference
ASIANPAINT | Mar 2022 | ROCE | Computed=31.81 | Source=41.75 | Difference=9.94 | Category=Version Difference
ASIANPAINT | Mar 2023 | ROE | Computed=26.23 | Source=31.45 | Difference=5.22 | Category=Version Difference
ASIANPAINT | Mar 2023 | ROCE | Computed=35.73 | Source=41.75 | Difference=6.02 | Category=Version Difference
ASIANPAINT | Mar 2024 | ROCE | Computed=36.74 | Source=41.75 | Difference=5.01 | Category=Version Difference
