id_x,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,id_y,peer_group_name,is_benchmark,chart_file
652,JINDALSTEL,Mar 2024,3.6133818781342306,20.0,0.39457781857842505,,2.5001008918842564,8.0046,0.64,65.20790199000382,8344.0,58.0,44.316,3.0,16472.0,6008.0,,,,,45.0,Steel,False,JINDALSTEL_radar.png
654,JIOFIN,Mar 2024,20.723134345446635,84.0,0.1364388614935002,,0.0,198.8,0.0128,67.25131545978451,1441.0,3.0,2.1903,0.0,0.0,-678.0,,,,,,No peer group assigned,False,JIOFIN_radar.png
666,JSWENERGY,Mar 2024,4.350713287994321,47.0,0.28656371989607066,,10.194115985310143,2.8514,0.1988,65.45385011011618,8197.0,10.0,1.2695,19.0,31573.0,6234.0,,,,,41.0,Power & Utilities,False,JSWENERGY_radar.png
678,JSWSTEEL,Mar 2024,2.086052529138329,16.0,0.3554148120386241,,7.619355099075831,3.6591,0.7679,65.17295493808437,14467.0,36.0,25.4652,25.0,87984.0,12078.0,,,,,44.0,Steel,False,JSWSTEEL_radar.png
690,KOTAKBANK,Mar 2024,8.328181172860708,-13382.0,0.4072110464944898,,26.929389133271453,1.2364,0.0733,71.20956362341585,8919.0,92.0,13.0757,2.0,520374.0,15685.0,,,,,4.0,Private Banks,False,KOTAKBANK_radar.png
696,LICI,Mar 2024,2.0196469052689427,4.0,1.1534137087367193,,0.0,371.9375,0.1591,67.31065951021377,25269.0,66.0,1.3083,15.0,0.0,26122.0,,,,,27.0,Life Insurance,True,LICI_radar.png
705,LODHA,Mar 2024,4.359872684390098,26.0,0.2996180554093376,,2.9642035594656764,5.6286,0.2186,66.46138021073732,2947.0,16.0,1.7574,,7698.0,2512.0,,,,,,No peer group assigned,False,LODHA_radar.png
717,LT,Mar 2024,2.5211238579377615,14.0,1.7475965283889683,,0.6961540013721296,3.5442,8.0276,80.22919991032454,2179.0,95.0,66.7267,36.0,2071.0,18266.0,,,,,,No peer group assigned,False,LT_radar.png
729,LTIM,Mar 2024,3.867555128117057,18.0,0.5943933734508504,,0.6961540013721296,31.9324,1.2895,67.90344063616823,3918.0,155.0,66.7267,42.0,2071.0,5670.0,,,,,14.0,IT Services,False,LTIM_radar.png
741,M&M,Mar 2024,2.9310068466488057,18.0,0.5025919172607792,,11.040262587944092,3.7647,0.5925,59.33350037584565,5615.0,91.0,11.8833,21.0,108647.0,-5630.0,,,,,22.0,Automobiles,False,M&M_radar.png
753,MARUTI,Mar 2024,3.0890064344759676,13.0,0.4438474074510778,,0.009416575863970836,117.9072,1.2303,70.00290126468765,11865.0,429.0,54.5452,29.0,119.0,16801.0,,,,,20.0,Automobiles,True,MARUTI_radar.png
765,MOTHERSON,Mar 2024,1.6120537656568432,9.0,0.3554148120386241,,5.1232898825618465,5.2247,1.1724,67.35813475055717,6644.0,4.0,3.8577,20.0,19922.0,7569.0,,,,,,No peer group assigned,False,MOTHERSON_radar.png
777,NAUKRI,Mar 2024,6.283345927503377,28.0,0.1537042729787888,,0.0544816174986884,28.9714,0.0703,66.64930303709663,852.0,44.0,23.4589,49.0,246.0,702.0,,,,,,No peer group assigned,False,NAUKRI_radar.png
789,NESTLEIND,Mar 2024,4.602596688878203,24.0,2.5914961531820992,,0.6948087762487052,41.1862,2.3182,68.68546334515818,1237.0,41.0,3.4792,79.0,345.0,4175.0,,,,,51.0,FMCG,False,NESTLEIND_radar.png
801,NHPC,Mar 2024,10.487508873165256,50.0,0.3314116789981008,,5.65868948168476,11.2434,0.1032,67.3878067757718,5968.0,4.0,0.3853,53.0,32561.0,6938.0,,,,,40.0,Power & Utilities,False,NHPC_radar.png
813,NTPC,Mar 2024,3.647729614618396,29.0,0.3916300653980099,,9.924398348063548,4.605,0.3724,72.44787614237296,32141.0,21.0,1.6573,36.0,237131.0,40785.0,,,,,36.0,Power & Utilities,True,NTPC_radar.png
825,ONGC,Mar 2024,3.1233541709601336,17.0,0.46890330948460646,,3.0563514804202487,11.3613,0.8332,94.48166268841736,57203.0,39.0,5.3588,31.0,153181.0,99263.0,,,,,32.0,Oil & Gas,False,ONGC_radar.png
837,PFC,Mar 2024,7.533603535527007,37.0,0.6630339117948028,,57.319369896552196,0.5804,0.0881,0.0,3409.0,60.0,3.0651,23.0,861961.0,-97820.0,,,,,,No peer group assigned,False,PFC_radar.png
849,PIDILITIND,Mar 2024,4.142337019990382,22.0,0.5497559681474213,,0.30536610301733996,54.3333,1.0254,67.37791610070026,1769.0,34.0,16.4843,47.0,382.0,2724.0,,,,,,No peer group assigned,False,PIDILITIND_radar.png
905,PNB,Mar 2024,2.834833184493142,,1.4033410676762017,,24.78106461116268,,1.507,47.33281462237402,1506.0,8.0,5.7435,18.0,55017.0,-27939.0,,,,,9.0,Public Sector Banks,False,PNB_radar.png
932,POWERGRID,Mar 2024,8.68997733049392,87.0,0.488484812754507,,9.532937837147047,4.603,0.1828,82.68934048978623,13114.0,17.0,0.937,67.0,123516.0,37290.0,,,,,37.0,Power & Utilities,False,POWERGRID_radar.png
945,RECLTD,Mar 2024,7.72824070893728,101.0,0.5417549238005802,,43.2146844774473,1.6005,0.0867,27.479592240435718,1831.0,54.0,2.6339,30.0,445568.0,-57723.0,,,,,,No peer group assigned,False,RECLTD_radar.png
957,RELIANCE,Mar 2024,2.9241372993519725,18.0,0.32193675806105215,,3.8910636695050917,7.7289,0.5123,96.55672631842698,113581.0,51.0,11.7275,10.0,458991.0,158788.0,,,,,31.0,Oil & Gas,True,RELIANCE_radar.png
969,SBILIFE,Mar 2024,1.2388083625289092,0.0,0.37962849887774824,,0.0,240.3333,0.3314,65.3641746561342,31221.0,19.0,1.4893,14.0,0.0,29122.0,,,,,29.0,Life Insurance,False,SBILIFE_radar.png
980,SHREECEM,Mar 2024,2.846282429987864,22.0,0.28845870408348034,,0.538090049369762,19.8256,0.7349,68.02015060201242,1418.0,480.0,57.5083,16.0,1656.0,3347.0,,,,,,No peer group assigned,False,SHREECEM_radar.png
