id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,sales,net_profit,operating_profit,broad_sector
4216,POWERGRID,Mar 2016,28.85,88.05,13.55,2.47,3.7,0.12,-6568.0,104.47,6.0,99.0,20.0,108545.0,15008.0,3.95,7.28,7.21,1.0,20652.0,5959.0,18184.0,Energy
4215,POWERGRID,Mar 2015,28.77,85.1,13.13,2.5,3.84,0.11,-8385.0,137.88,5.0,99.0,21.0,96243.0,15800.0,3.95,7.28,7.21,1.0,17540.0,5046.0,14927.0,Energy
4214,POWERGRID,Mar 2014,29.24,83.36,13.11,2.43,4.21,0.11,-11416.0,171.26,5.0,99.0,30.0,84220.0,15223.0,3.95,7.28,7.21,1.0,15555.0,4548.0,12967.0,Energy
4212,PNB,TTM,12.52,,,,,,,,13.0,110.0,,,,16.16,97.39,67.03,1.0,116126.0,14535.0,,Financials
4207,PNB,Mar 2020,0.88,,6.1,8.52,,0.7,-13131.0,0.62,1.0,110.0,0.0,67736.0,-12793.0,16.16,97.39,67.03,1.0,54918.0,485.0,,Financials
4206,PNB,Mar 2019,-18.31,,-128.45,9.66,,0.62,-34161.0,1.21,-21.0,110.0,0.0,71859.0,-33532.0,16.16,97.39,67.03,1.0,52147.0,-9550.0,,Financials
4205,PNB,Mar 2018,-24.86,,-184.37,8.19,,0.77,-1350.0,0.8,-44.0,110.0,0.0,53777.0,-1742.0,16.16,97.39,67.03,1.0,48725.0,-12111.0,,Financials
4203,PNB,Mar 2016,-6.91,,-163.56,12.12,,1.71,12815.0,2.66,-19.0,110.0,-2.0,26014.0,14167.0,16.16,97.39,67.03,1.0,50804.0,-3510.0,,Financials
3538,BOSCHLTD,Mar 2021,4.96,11.97,4.91,0.01,65.86,0.66,372.0,4.76,164.0,4319.0,70.0,54.0,835.0,11.75,26.24,26.3,1.0,9718.0,482.0,1163.0,Consumer Discretionary
4230,RECLTD,Mar 2017,25.94,92.24,18.75,4.99,1.67,0.12,6704.0,0.41,24.0,279.0,30.0,167852.0,6805.0,11.45,24.52,24.57,1.0,24338.0,6313.0,22450.0,Financials
4229,RECLTD,Mar 2016,23.59,93.04,19.7,5.86,1.57,0.12,-14034.0,3.13,22.0,279.0,30.0,169212.0,-13278.0,11.45,24.52,24.57,1.0,24125.0,5691.0,22445.0,Financials
4228,RECLTD,Mar 2015,26.01,94.41,21.31,6.02,1.64,0.11,-23747.0,0.74,20.0,279.0,20.0,150979.0,-23898.0,11.45,24.52,24.57,1.0,20544.0,5344.0,19395.0,Financials
4227,RECLTD,Mar 2014,27.53,96.67,22.79,6.07,1.66,0.11,-17108.0,0.79,18.0,279.0,20.0,126173.0,-17244.0,11.45,24.52,24.57,1.0,17223.0,4741.0,16650.0,Financials
3522,BHEL,Mar 2018,1.52,5.73,1.35,0.0,7.07,0.45,1950.0,3.33,1.0,70.0,151.0,110.0,989.0,3.78,,,1.0,28827.0,438.0,1653.0,Industrials
3521,BHEL,Mar 2017,1.6,3.85,1.4,0.0,4.47,0.46,-5.0,1.98,1.0,70.0,85.0,156.0,560.0,3.78,,,1.0,28465.0,455.0,1095.0,Industrials
3520,BHEL,Mar 2016,-2.77,-5.32,-2.18,0.01,0.38,0.39,397.0,0.09,-2.0,70.0,-14.0,211.0,374.0,3.78,,,1.0,25505.0,-706.0,-1357.0,Industrials
3519,BHEL,Mar 2015,4.63,6.84,4.24,0.06,36.54,0.44,1471.0,2.08,4.0,70.0,20.0,1889.0,821.0,3.78,,,1.0,31323.0,1450.0,2141.0,Industrials
3518,BHEL,Mar 2014,8.85,11.57,10.56,0.14,46.59,0.53,3644.0,2.19,10.0,70.0,20.0,4693.0,4512.0,3.78,,,1.0,39561.0,3502.0,4579.0,Industrials
3516,BHARTIARTL,TTM,8.89,51.93,,,3.7,,,,22.0,153.0,,,,12.17,,,1.0,155478.0,13816.0,80733.0,Communication Services
3515,BHARTIARTL,Mar 2024,5.71,52.2,10.36,2.61,3.31,0.34,27809.0,34.06,13.0,153.0,62.0,215592.0,78898.0,12.17,,,1.0,149982.0,8558.0,78292.0,Communication Services
3513,BHARTIARTL,Mar 2022,7.13,49.37,12.48,2.55,3.74,0.32,13539.0,35.59,7.0,153.0,39.0,169678.0,55017.0,12.17,,,1.0,116547.0,8305.0,57534.0,Communication Services
3512,BHARTIARTL,Mar 2021,-12.29,45.0,-20.97,2.76,2.72,0.29,20919.0,27.12,-26.0,153.0,0.0,162785.0,48205.0,12.17,,,1.0,100616.0,-12364.0,45279.0,Communication Services
3511,BHARTIARTL,Mar 2020,-35.03,41.82,-39.75,1.92,-0.08,0.24,-11469.0,33.81,-55.0,153.0,-3.0,148228.0,18129.0,12.17,,,1.0,87539.0,-30664.0,36610.0,Communication Services
3510,BHARTIARTL,Mar 2019,2.09,31.89,2.36,1.76,2.85,0.29,-8216.0,35.02,1.0,153.0,244.0,125428.0,20070.0,12.17,,,1.0,80780.0,1688.0,25764.0,Communication Services
3476,BAJFINANCE,Mar 2024,26.29,29.29,18.84,3.82,2689.17,0.15,-79931.0,13.04,233.0,1402.0,15.0,293346.0,-72760.0,18.75,23.93,23.31,1.0,54972.0,14451.0,16099.0,Financials
3475,BAJFINANCE,Mar 2023,27.79,30.65,21.17,3.99,-2546.4,0.15,-52506.0,25.1,190.0,1402.0,16.0,216690.0,-42112.0,18.75,23.93,23.31,1.0,41411.0,11508.0,12693.0,Financials
4251,RELIANCE,TTM,8.51,17.46,,,7.61,,,,51.0,606.0,,,,9.51,14.92,11.95,1.0,939838.0,79941.0,164128.0,Energy
3506,BHARTIARTL,Mar 2015,5.25,34.97,12.69,2.1,7.84,0.53,5758.0,23.21,8.0,153.0,33.0,83415.0,28059.0,12.17,,,1.0,96101.0,5048.0,33602.0,Communication Services
3505,BHARTIARTL,Mar 2014,3.52,30.88,5.05,1.27,5.0,0.47,1052.0,29.33,5.0,153.0,26.0,75896.0,26233.0,12.17,,,1.0,85864.0,3019.0,26512.0,Communication Services
3504,BHARTIARTL,Mar 2013,2.95,29.84,4.5,1.33,5.34,0.49,3932.0,24.27,4.0,153.0,17.0,66736.0,22608.0,12.17,,,1.0,76947.0,2267.0,22960.0,Communication Services
3503,BEL,TTM,21.05,26.46,,,923.14,,,,6.0,24.0,,,,10.72,20.0,14.87,1.0,21575.0,4541.0,5708.0,Industrials
4237,RECLTD,Mar 2024,29.77,100.77,20.4,6.42,1.6,0.09,-59554.0,3.85,54.0,279.0,30.0,445568.0,-57723.0,11.45,24.52,24.57,1.0,47517.0,14145.0,47883.0,Financials
4236,RECLTD,Mar 2023,28.28,95.29,19.21,6.55,1.59,0.08,-38303.0,2.39,42.0,279.0,30.0,380790.0,-37360.0,11.45,24.52,24.57,1.0,39486.0,11167.0,37628.0,Financials
4235,RECLTD,Mar 2022,25.55,87.68,19.56,6.49,1.56,0.1,-1106.0,0.73,38.0,279.0,30.0,333043.0,-819.0,11.45,24.52,24.57,1.0,39276.0,10036.0,34438.0,Financials
4234,RECLTD,Mar 2021,23.56,90.74,19.14,7.53,1.5,0.09,-42651.0,2.42,32.0,279.0,30.0,329723.0,-43512.0,11.45,24.52,24.57,1.0,35557.0,8378.0,32265.0,Financials
4232,RECLTD,Mar 2019,22.6,93.3,16.62,7.07,1.52,0.09,-35409.0,1.8,22.0,279.0,38.0,244249.0,-35866.0,11.45,24.52,24.57,1.0,25408.0,5741.0,23705.0,Financials
4264,SBILIFE,TTM,1.85,0.77,,,,,,,24.0,162.0,,,,24.32,11.14,11.38,1.0,130073.0,2411.0,1007.0,Financials
3489,BANKBARODA,Mar 2024,15.94,37.49,15.76,12.14,1.9,0.07,-7559.0,1.09,36.0,231.0,21.0,1453761.0,-6274.0,9.49,83.02,81.14,1.0,118379.0,18869.0,44379.0,Financials
4348,TATAMOTORS,Mar 2019,-9.51,8.17,-47.73,1.76,-0.35,0.99,-1987.0,6.91,-100.0,275.0,0.0,106175.0,18891.0,11.01,,,1.0,301938.0,-28724.0,24664.0,Consumer Discretionary
4346,TATAMOTORS,Mar 2017,2.8,10.97,13.02,1.35,7.42,0.99,-9372.0,14.67,26.0,275.0,0.0,78604.0,30199.0,11.01,,,1.0,269693.0,7557.0,29589.0,Consumer Discretionary
4341,TATACONSUM,TTM,7.18,15.32,,,8.69,,,,12.0,193.0,,,,11.08,20.53,19.14,1.0,16297.0,1170.0,2496.0,Consumer Staples
3407,ATGL,Mar 2018,11.79,26.64,15.94,1.32,3.57,0.49,,,6.0,36.0,0.0,1345.0,,20.81,8.91,8.45,1.0,1374.0,162.0,366.0,Energy
3425,AXISBANK,Mar 2023,11.25,34.16,7.38,8.88,1.8,0.06,-10276.0,37.99,31.0,509.0,3.0,1152038.0,22075.0,14.01,74.58,69.92,1.0,85164.0,9580.0,29089.0,Financials
